feature_name,importances
bureau_balance_months_balance_max_loan_2,0.0032589268
amt_income_total,0.0032593922
bureau_balance_closing_month_loan_2,0.0032741826
bureau_balance_status_0_mean_loan_2,0.0032818934
amt_credit_sum_std,0.003296888
log_amt_credit_sum_mean,0.0033002172
organization_type_School,0.003316264
bureau_balance_status_score_std_loan_1,0.0033238
bureau_balance_status_score_max_loan_2,0.0033414613
bureau_amt_credit_sum_debt_loan_2,0.0033477175
bureau_days_credit_enddate_first_cluster_values_loan_2,0.0033502374
bureau_amt_annuity_loan_2,0.0033557464
bureau_ratio_debt_limit_loan_2,0.003357346
days_credit_update_max,0.0033717835
bureau_balance_status_0_sum_loan_2,0.0033819182
log_amt_credit_sum_std,0.0034000934
bureau_days_enddate_fact_loan_1,0.0034085233
ext_source_std,0.0034158966
bureau_balance_months_balance_min_loan_2,0.0034191795
building_score_sum,0.00342667
building_score_max,0.0034316464
weekday_appr_process_start,0.0034679493
flag_live_city_not_work,0.0034689868
days_registration,0.0034713119
bureau_days_credit_enddate_is_missing_loan_2,0.0034743291
name_type_suite,0.0034747818
amt_annuity_mean,0.0034907789
ratio_credit_annuity_max,0.003494803
bureau_balance_raw_length_loan_1,0.0034959903
balance_months_balance_max_max,0.003502991
organization_type_Medicine,0.0035064204
id_curr_count,0.0035095338
cnt_children,0.0035397557
bureau_amt_credit_sum_debt_loan_1,0.0035490934
bureau_has_bureau_balance_data_loan_2,0.003555462
bureau_days_credit_enddate_first_cluster_values_loan_1,0.0035574029
bureau_days_credit_update_loan_2,0.0035577586
days_credit_min,0.0035778705
flag_region_not_work,0.0035854245
building_features_nan_count,0.0035858422
have_amt_credit_sum_overdue_mean,0.003594159
days_credit_update_min,0.003597649
bureau_days_credit_loan_1,0.0036142676
bureau_days_credit_update_loan_1,0.0036741884
emergencystate_mode,0.0036922784
organization_type_Trade: type 2,0.0036958286
organization_type_Construction,0.003711801
amt_credit_sum_limit_is_zero_sum,0.0037146413
bureau_amt_credit_sum_limit_is_missing_loan_2,0.003724068
building_score_min,0.0037384182
flag_city_not_work,0.0037436108
amt_credit_sum_sum,0.00374697
credit_active_closed_sum,0.0037750108
bureau_ratio_credit_annuity_loan_1,0.0038144388
bureau_balance_months_balance_min_loan_1,0.0038172922
organization_type_Industry: type 9,0.0038741196
flag_phone,0.0039234776
days_enddate_fact_max,0.0039277426
cnt_credit_prolong_mean,0.0039513847
days_last_phone_change,0.0039619305
ratio_debt_income,0.003965707
organization_type_Government,0.003971595
amt_credit_sum_limit_std,0.0039747576
amt_credit_sum_debt_max,0.003975071
bureau_completetitud_ratio_loan_2,0.0039887596
ratio_annuity_income,0.0039970763
bureau_days_credit_enddate_third_positive_cluster_loan_1,0.0040041385
flag_document_5,0.0040166834
days_employed,0.004029107
amt_credit_sum_limit_min,0.0040294398
def_60_cnt_social_circle,0.004054302
building_score_mean,0.004055849
amt_credit_sum_limit_mean,0.0040580975
wallsmaterial_mode,0.004061475
bureau_days_credit_enddate_third_positive_cluster_loan_2,0.0040749074
days_id_publish,0.004076353
bureau_balance_is_delincuency_mean_loan_2,0.0040778276
organization_type_Agriculture,0.0040835463
amt_req_credit_breau_year,0.004115958
bureau_days_credit_loan_2,0.0041245194
bureau_amt_credit_sum_loan_1,0.004145241
has_bureau_balance_data_sum,0.004163488
amt_credit_sum_debt_std,0.0041857827
bureau_days_credit_enddate_loan_1,0.0041976073
days_credit_update_mean,0.0042161997
amt_credit_sum_debt_is_negative_sum,0.004242747
bureau_ratio_debt_limit_loan_1,0.0042490507
bureau_balance_raw_length_loan_2,0.004254458
ext_source_2,0.004283176
