feature,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_fold_5,mean_importance_cv
building_score_min,-7.157433776352473e-05,-6.626621700211999e-05,3.10939393447951e-05,-5.3164715765663395e-05,0.0001493528855444959,-2.1116891284034215e-06
organization_type_Security,0.0,0.0,0.0,0.0,-9.064085518928344e-06,-1.812817103785669e-06
bureau_have_amt_credit_sum_overdue_loan_2,0.0,0.0,0.0,0.0,-6.610493179937116e-06,-1.3220986359874232e-06
bureau_days_credit_enddate_first_positive_cluster_loan_1,0.0,0.0,0.0,-5.582198799802818e-06,0.0,-1.1164397599605637e-06
bureau_credit_currency_loan_1,0.0,0.0,-4.899858683082847e-06,0.0,0.0,-9.799717366165694e-07
organization_type_Industry: type 3,0.0,0.0,-3.359240333922209e-06,0.0,-1.25642202997156e-06,-9.231324727787537e-07
bureau_have_amt_credit_sum_overdue_loan_1,-4.6122194917508356e-06,0.0,0.0,0.0,0.0,-9.224438983501671e-07
bureau_amt_credit_max_overdue_is_missing_loan_1,0.0,0.0,0.0,-3.2917914416064063e-06,0.0,-6.583582883212813e-07
organization_type_Industry: type 1,0.0,0.0,-1.058483674731825e-06,0.0,0.0,-2.11696734946365e-07
obs_60_cnt_social_circle,-2.149442742083174e-06,1.732437288963773e-05,1.8584846368785434e-05,-1.0779332230437256e-05,-2.400729809872715e-05,-2.053707625648841e-07
info_of_social_circule_is_missing,0.0,0.0,0.0,0.0,0.0,0.0
flag_cont_mobile,0.0,0.0,0.0,0.0,0.0,0.0
ext_source_1_is_missing,0.0,0.0,0.0,0.0,0.0,0.0
bureau_credit_active_active_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
have_sentinel_value_days_employed,0.0,0.0,0.0,0.0,0.0,0.0
bureau_credit_active_closed_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
bureau_credit_active_closed_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
ext_source_3_is_missing,0.0,0.0,0.0,0.0,0.0,0.0
bureau_cnt_credit_prolong_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
bureau_has_bureau_balance_data_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
bureau_credit_currency_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
bureau_days_enddate_fact_is_missing_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
flag_document_9,0.0,0.0,0.0,0.0,0.0,0.0
bureau_days_credit_enddate_second_positive_cluster_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
bureau_days_credit_enddate_second_positive_cluster_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
organization_type_Electricity,0.0,0.0,0.0,0.0,0.0,0.0
flag_emp_phone,0.0,0.0,0.0,0.0,0.0,0.0
bureau_credit_active_sold_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
client_without_querys,0.0,0.0,0.0,0.0,0.0,0.0
days_credit_max,0.0,0.0,0.0,0.0,0.0,0.0
flag_document_16,0.0,0.0,0.0,0.0,0.0,0.0
flag_document_11,0.0,0.0,0.0,0.0,0.0,0.0
bureau_days_credit_enddate_first_positive_cluster_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
bureau_days_credit_enddate_closed_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
organization_type_Advertising,0.0,0.0,0.0,0.0,0.0,0.0
cnt_credit_prolong_sum,0.0,0.0,0.0,0.0,0.0,0.0
credit_active_sold_sum,0.0,0.0,0.0,0.0,0.0,0.0
ext_source_2_is_missing,0.0,0.0,0.0,0.0,0.0,0.0
organization_type_XNA,0.0,0.0,0.0,0.0,0.0,0.0
bureau_amt_annuity_is_missing_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
organization_type_Other industry,0.0,0.0,0.0,0.0,0.0,0.0
own_car_age_is_missing,0.0,0.0,0.0,0.0,0.0,0.0
bureau_amt_credit_sum_limit_long_limit_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
bureau_amt_credit_sum_overdue_is_missing_loan_1,0.0,0.0,0.0,0.0,0.0,0.0
bureau_amt_credit_sum_overdue_is_missing_loan_2,0.0,0.0,0.0,0.0,0.0,0.0
amt_goods_price_is_missing,0.0,0.0,0.0,0.0,0.0,0.0
bureau_amt_credit_max_overdue_is_missing_loan_2,3.2147069932486615e-06,-3.5432080797970225e-05,2.2004755019011667e-06,-1.832183137606691e-06,3.1939532976532625e-05,1.8090307221107506e-08
bureau_flag_have_credit_day_overdue_loan_2,0.0,0.0,0.0,0.0,5.561095233863611e-07,1.1122190467727223e-07
has_bureau_balance_data_mean,0.0,1.8750078311313701e-06,0.0,0.0,0.0,3.75001566226274e-07
amt_req_credit_breau_week,4.874128179799264e-05,3.2403304349126746e-05,0.0,0.0,-7.745377794690089e-05,7.381616400437002e-07
bureau_amt_credit_sum_debt_is_negative_loan_2,0.0,0.0,0.0,3.994830160269913e-06,0.0,7.989660320539827e-07
organization_type_Kindergarten,1.8221907090776312e-06,8.665326922305817e-05,5.405903811572799e-06,0.0,-8.978634543386211e-05,8.190036619692997e-07
bureau_cnt_credit_prolong_loan_2,-1.8860708769419253e-05,0.0,-2.2452986810539422e-05,0.0,4.587153998507621e-05,9.115688810235057e-07
organization_type_Other trade,0.0,0.0,0.0,0.0,6.007981706401822e-06,1.2015963412803643e-06
education_type_Lower secondary,3.7403801062008137e-05,-8.53481866880612e-05,1.727690885429123e-05,1.5137458540737115e-05,2.4096889555869085e-05,1.713374264968872e-06
flag_live_region_not_work,0.0,-1.850847566517988e-05,2.7742550204834516e-05,2.336800776214787e-06,-1.1957425569475432e-06,2.075026551784376e-06
organization_type_Industry: type 7,0.0,-5.381636485113362e-07,0.0,-1.0627661440909541e-05,2.3393007668737198e-05,2.445436515863264e-06
bureau_has_bureau_balance_data_loan_2,1.23270880286519e-05,0.0,0.0,0.0,0.0,2.46541760573038e-06
bureau_balance_amount_rows_with_activity_loan_1,-2.0177568095025577e-06,0.0001306724148159244,-0.0001577240599651919,-6.812195372114526e-05,0.00010993942618058306,2.5496141001335458e-06
organization_type_Telecom,-7.3230225912768175e-06,0.0,2.129743383056937e-05,0.0,0.0,2.79488224785851e-06
bureau_amt_credit_sum_limit_short_limit_loan_2,0.0,1.5096775081824276e-05,-4.124803104992303e-05,5.263154833201611e-06,3.5264768098652864e-05,2.8753333927511444e-06
bureau_balance_months_balance_min_loan_1,-3.920493629678834e-05,-7.852514239357067e-05,6.154943388376743e-05,3.0625365823278014e-05,4.191523834320421e-05,3.271991871978129e-06
flag_region_not_work,-5.118264620063151e-06,4.828484193963867e-06,1.8833943336105106e-05,-1.828614413135199e-06,0.0,3.3431096993741242e-06
bureau_balance_status_score_mean_loan_1,1.6994265877001703e-05,-2.9713199851344463e-05,6.913939706467697e-05,-4.1145251785512646e-05,4.101575438930638e-06,3.875357348750441e-06
balance_status_score_max_max,7.85404879084517e-06,9.146640790103078e-07,-6.438478546697546e-05,7.30635664805579e-05,6.419888246855798e-06,4.7734764260587425e-06
organization_type_Trade: type 2,0.0,0.0,0.0,2.4090317592717626e-05,0.0,4.8180635185435255e-06
emergencystate_mode,-1.8399629569310073e-05,0.00013995930647743294,-6.384483745620617e-05,-3.064320944554666e-05,0.0,5.41432600127401e-06
organization_type_Restaurant,3.429115958824003e-05,0.0,2.9520488731060723e-06,0.0,-9.150464533602688e-06,5.6185487855486824e-06
bureau_balance_potential_on_going_loan_loan_2,-9.203026636672717e-06,1.0045245609147101e-05,5.664279462402888e-06,1.6591000013610468e-06,2.091871292124736e-05,5.816862271497136e-06
organization_type_Services,0.0,3.199218729130759e-05,0.0,0.0,0.0,6.398437458261519e-06
organization_type_Other,1.603071027211911e-06,1.1411353332402285e-05,0.0,0.0,1.9008380334883947e-05,6.404560938899629e-06
bureau_days_credit_enddate_closed_loan_2,-8.189508890144026e-06,0.0,0.0,0.0,4.2110126533079216e-05,6.784123528587038e-06
bureau_amt_annuity_is_missing_loan_2,1.0400690565282033e-05,0.0,0.0,0.0,2.7102308161452982e-05,7.500599745347003e-06
bureau_balance_status_score_std_loan_2,4.580671967475691e-05,0.0001658728853965119,-6.7260463636587e-05,-8.400277756674957e-05,-2.2909713512975215e-05,7.501330070991403e-06
bureau_amt_credit_sum_limit_is_zero_loan_2,-8.380078776215605e-06,-3.8038320270894485e-05,1.6446109800050123e-05,0.0,7.112740747587943e-05,8.231023645763891e-06
bureau_balance_potential_on_going_loan_loan_1,0.0,0.0,1.813625770430427e-06,-1.2131521928226974e-05,5.585581186560162e-05,9.107583141561016e-06
flag_document_13,-1.8413904467107223e-05,3.712222870211335e-05,0.0,2.7656900817674134e-05,0.0,9.273045010536052e-06
organization_type_Trade: type 3,5.650682622220238e-05,1.812912026055713e-07,-8.971487793694167e-05,0.0,8.043956495809023e-05,9.482560889191304e-06
name_type_suite_is_missing,5.0049219312420236e-05,0.0,0.0,0.0,0.0,1.0009843862484048e-05
organization_type_Insurance,0.0,-1.5375492462110785e-05,0.0,7.010687826569661e-05,0.0,1.0946277160717166e-05
amt_credit_sum_limit_min,5.833829561492365e-05,-5.518675504456727e-05,-4.455195615467033e-05,-1.951378534537085e-06,9.932587247081237e-05,1.1194815670392265e-05
flag_document_18,0.0,0.0,6.332701553717346e-05,0.0,0.0,1.2665403107434692e-05
organization_type_Bank,2.3333034262318363e-05,-3.71564884568576e-05,5.2600500428656716e-05,-4.366691248836041e-06,2.892840336163882e-05,1.2667751669384053e-05
bureau_balance_months_since_delincuency_loan_1,-5.203200262271501e-06,-4.056390657101172e-05,2.5144161925716445e-05,0.00011995303715637285,-3.59889954563597e-05,1.2668219358489275e-05
organization_type_Trade: type 7,0.0,3.65009137746064e-06,2.1453743961918904e-05,0.0,3.909756916598006e-05,1.2840280901071921e-05
bureau_balance_is_delincuency_mean_loan_1,-1.21400868669852e-05,-9.242996350078414e-07,2.3078227335893154e-05,5.715597720148402e-05,2.1491241596116594e-06,1.386378843899916e-05
bureau_amt_credit_sum_limit_is_missing_loan_1,0.0,7.38626038871093e-05,0.0,0.0,-4.008414601042176e-06,1.3970837857213426e-05
flag_document_14,0.0,0.0,6.20840288078961e-05,9.265836187166699e-06,0.0,1.426997299901256e-05
amt_req_credit_breau_mon,-6.564954141559109e-05,5.32453689428003e-07,1.2273914034310885e-05,0.00019064411561611205,-6.552740599112817e-05,1.4454707186626332e-05
organization_type_Housing,0.0,4.1051394332281e-05,3.6742159547165086e-05,0.0,0.0,1.5558710775889218e-05
bureau_amt_credit_sum_limit_is_zero_loan_1,0.0,0.0,-6.513279011288731e-06,0.0001313319150961334,-4.48649746088714e-05,1.599073229519466e-05
amt_req_credit_berau_hour,0.00015390552479332964,0.0,-7.04962261042219e-05,0.0,0.0,1.668185973782155e-05
bureau_days_enddate_fact_is_missing_loan_2,-1.0284350147937715e-05,7.536039754281187e-05,0.0,2.0462352306971355e-05,0.0,1.71076799403691e-05
organization_type_Realtor,-6.969005124881633e-05,8.290860664783573e-06,2.4274463774864864e-05,5.0732273174047823e-05,7.282714659690992e-05,1.728693859235797e-05
bureau_balance_months_since_delincuency_loan_2,8.541028249362537e-05,2.0552997908285243e-05,1.5224178546047184e-06,-2.102692451644295e-06,-1.6493394646777127e-05,1.7777922231618782e-05
organization_type_Police,-5.487948786864205e-05,0.0,-6.992201833861955e-05,0.00010766484822437583,0.000114380449730489,1.9448758349520645e-05
organization_type_Industry: type 9,5.709352452343275e-05,-7.251648102082341e-05,0.00010539692383026988,-1.888997230998779e-05,3.09486728756303e-05,2.0406533579704347e-05
organization_type_Industry: type 12,7.476477743042497e-05,0.0,-2.3784834778894926e-05,5.0228369280369556e-05,1.7857611975147236e-06,2.0598814625882865e-05
bureau_balance_closing_month_loan_1,-6.893705038835129e-06,-8.785485874840403e-06,1.3226406592536932e-05,5.088894017788448e-05,6.0530629855715115e-05,2.17933571424922e-05
bureau_amt_credit_sum_limit_short_limit_loan_1,-3.583713102417452e-05,3.177699320640048e-05,7.619940466325747e-05,4.9569582746267216e-06,3.2473512339148414e-05,2.1913947491851713e-05
bureau_balance_status_score_mean_loan_2,-1.554893247091016e-06,-1.634047555600926e-05,6.037782164378669e-05,3.682923642398528e-05,3.274942547246695e-05,2.241222294742773e-05
balance_months_since_delincuency_max,-0.00014976937314465922,7.802659158673286e-06,0.0001058829841016573,0.00015234278035247684,-2.4253942310092924e-06,2.2766731247427782e-05
bureau_balance_status_0_mean_loan_1,-0.00011257576995329365,0.0001106168970974375,-8.286542508140204e-05,0.00010197201896622321,9.848242779562089e-05,2.312602976491718e-05
have_amt_credit_sum_overdue_sum,7.565124858623928e-05,3.65633664518139e-05,-2.3793399717630947e-05,-2.8319969822243608e-05,5.934559544114037e-05,2.3889368187863798e-05
bureau_credit_active_sold_loan_1,-6.915117385530856e-06,-3.531038729398528e-05,0.0002469125510444092,-0.00012069497497155802,3.618138507954782e-05,2.4034691294576583e-05
flag_own_car,0.0001273781252671302,0.0,2.0819938497873557e-05,0.0,-2.7809045553328637e-05,2.4077803642335025e-05
organization_type_Agriculture,7.339438723819036e-06,0.00011520699049742955,0.0,5.738508930930309e-07,0.0,2.4624056022868328e-05
cnt_children,2.004231343801788e-05,0.0002232108675453759,1.808772305156303e-05,-0.00015001026204559676,3.022337470379721e-05,2.831080333863145e-05
bureau_balance_is_delincuency_sum_loan_1,1.036214834120308e-05,2.088203430348212e-05,4.885226912871854e-05,1.739753174105907e-05,4.495349525184267e-05,2.84894957532611e-05
housetype_mode,6.812409495582372e-05,5.3527298170896743e-05,-2.399610326691004e-05,4.128585952924979e-05,5.290536172375404e-06,2.8846337112287122e-05
bureau_ratio_debt_limit_loan_2,8.018459926733002e-05,-3.1436180020461e-05,3.784667976751699e-05,8.794086500809594e-05,-2.9906770629928304e-05,2.892583867851073e-05
amt_credit_sum_debt_is_negative_mean,1.494581803718198e-05,0.00014324503108746888,9.17911618281142e-06,-3.1712756166069055e-05,1.6936711737947084e-05,3.051878417586806e-05
bureau_balance_is_delincuency_mean_loan_2,-4.110456832684406e-06,8.220199920527804e-06,4.752434675725503e-05,0.00021577685762343978,-0.00011216886140756888,3.1048417212193875e-05
cnt_credit_prolong_max,3.702266128970955e-05,-2.7784304280920048e-05,4.361338162188755e-05,6.352400912734701e-05,4.4620828964347933e-05,3.2199315344474404e-05
organization_type_Hotel,1.4738118273571743e-05,0.0,0.00015634189298203706,0.0,0.0,3.421600225112176e-05
obs_30_cnt_social_circle,-3.631748133650081e-05,-8.274444532228032e-05,1.2779602290136084e-05,8.757649824076008e-05,0.00019383522253515472,3.5025879281453946e-05
balance_months_balance_max_max,3.9388368734027954e-05,8.403168423489759e-05,4.2114160476347526e-05,-6.791282646756436e-06,2.1831046645237608e-05,3.6114795488750846e-05
fondkapremont_mode,0.0001490816799412098,-0.00030326092590062805,1.785397159939084e-05,0.00015855236091237844,0.00016270415430230667,3.698624817093154e-05
bureau_amt_credit_sum_debt_is_missing_loan_1,0.0002569756402757806,0.0,0.0,-5.928436446915875e-05,0.0,3.953825516132437e-05
bureau_ratio_credit_annuity_loan_1,-7.027460831523502e-05,1.7583105412888322e-05,-7.236445335880858e-05,-1.4312726317977643e-05,0.0003398553772577806,4.009733893572953e-05
organization_type_Medicine,3.74587594186071e-05,0.00012029456408719774,1.7250500293286564e-05,3.8563279638914594e-05,0.0,4.27134206876012e-05
bureau_amt_credit_sum_limit_loan_2,7.867038947915184e-05,9.464257267133291e-06,-0.00011927961885069838,0.0003330811874858286,-8.671810572684624e-05,4.304362193091382e-05
ratio_credit_annuity_max,6.204263160412005e-05,0.00031242826529267467,7.311674047492112e-05,-0.00012918818231306696,-0.00010179052989034432,4.33217850336609e-05
bureau_days_credit_enddate_third_positive_cluster_loan_1,6.485835520273487e-05,5.007634161831031e-05,1.521418611665215e-05,0.0001114555473454848,-1.244785848579788e-05,4.5831314359476854e-05
amt_annuity_mean,-3.4680150554411426e-05,9.794328592367396e-05,-0.00011568876829939345,0.00020151552093770065,0.00010331215691103957,5.048040898372186e-05
bureau_balance_closing_month_loan_2,7.754838250901841e-05,6.79995464722527e-05,-3.283083753926608e-05,2.7530211099335843e-05,0.0001158496068540904,5.1219381879086254e-05
bureau_ratio_credit_annuity_loan_2,0.00014951849181499277,-4.7735615245203535e-05,7.448641692286983e-06,0.00010027294925099017,5.233033448226454e-05,5.236696039906619e-05
bureau_balance_status_score_std_loan_1,2.3589268678403385e-07,9.89303951092646e-05,8.44806297719769e-05,3.323338965839362e-05,6.179133514250257e-05,5.573432847378434e-05
region_raiting_client,0.0,7.626114359646775e-05,7.828853596196783e-05,1.3398775984008183e-05,0.00011349988349536044,5.6289667807560847e-05
bureau_balance_raw_length_loan_1,0.00015248624307577784,0.00019782831482588746,5.21026633665933e-05,-0.00010036288110732982,2.8365868952384687e-06,6.097818541123344e-05
flag_document_8,0.0001627374040861662,0.0002137337628702829,-4.581956708278323e-05,6.895489401015364e-05,-9.458502093662169e-05,6.1004294589439554e-05
amt_credit_sum_limit_max,4.01970416965769e-05,-4.32386655534911e-05,0.0001396449018524759,5.176898762959681e-05,0.00012803190341081905,6.32808338071955e-05
flag_own_realty,0.0001391838226522335,-0.00015988099702854975,0.00021369093817684702,0.0001042656381764706,3.920964772206048e-05,6.729380993981237e-05
balance_months_balance_min_min,3.386148516328902e-05,0.000319211339873271,-0.0001632734264999991,-2.009441681507518e-05,0.0001721330305355373,6.83676024514046e-05
cnt_credit_prolong_mean,0.00010611102559456853,7.006405357219414e-05,2.4988208667142688e-06,8.433145708954814e-05,9.07672112684832e-05,7.075451367830164e-05
bureau_flag_have_credit_day_overdue_loan_1,0.0,-9.479781218491024e-05,0.0,0.00035563124360165065,9.840996936609781e-05,7.184868015656764e-05
bureau_balance_months_balance_min_loan_2,0.00010509715097557492,0.00024761273478346446,7.821930270823785e-06,-5.1084506278153977e-05,6.381553097538628e-05,7.46525681454191e-05
building_score_sum,0.00047985497331894946,-0.0003899263287867827,0.0001962031177070056,3.448636881622225e-05,6.188877923740677e-05,7.650138205856028e-05
organization_type_Security Ministries,4.1556368843287395e-05,0.00010510714340408178,0.00011392510467158611,0.0,0.00014147026505930693,8.041177639565244e-05
organization_type_Military,0.00021649452811223213,-2.998299542049665e-05,0.0001861228985980956,3.6728241521766235e-05,1.4416015040463748e-05,8.475573757041221e-05
ext_source_std,0.0005846734069141268,0.000385683829149186,-0.00038533266666225253,0.00011433729234662237,-0.0002636369619944512,8.71449799506463e-05
bureau_balance_status_0_sum_loan_2,0.00019511786859873758,0.00017070850703939655,4.240429777493393e-05,-0.0001593621044921445,0.00020547211771067,9.086813732631872e-05
bureau_days_credit_update_loan_1,-0.00023700755630653436,0.00014842003842643336,0.000752506592656399,-0.00037459044916619,0.00016988646228097704,9.184301757821701e-05
amt_annuity_is_missing_mean,4.198176079883709e-05,0.00015154624105313542,-6.617592827331542e-05,7.441468556097508e-05,0.00026881220716796773,9.411579326151998e-05
